file,model_name,task_type,input,timestamp,fallback,job_description_score_AI,job_description_scores,section_name,job_analysis_score_AI,job_analysis_scores,hazard_assessment_score_AI,hazard_assessment_scores,redesign_suggestions_score_AI,redesign_suggestions_scores,total_AI
batch_reports\multi\As_a_dishroom_worker__you_carefully_lift_44.json,unknown,multi,"As a dishroom worker, you carefully lift the parts box from the shelving unit at the press station, then proceed to carry it to the designated storage area, and finally, lower the box onto a pallet, which is already positioned next to the bin of rags and cleaning supplies, ready for processing.",2025-12-12 01:18:00,False,5.7,"{'structure': 6.0, 'coherence': 6.0, 'style': 4.5, 'semantic_alignment': 8.5}",redesign_suggestions,9.100000000000001,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.5, 'semantic_alignment': 3.0}",7.0,"{'structure': 7.0, 'coherence': 7.0, 'style': 7.0, 'semantic_alignment': 8.5}",8.0,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.45
batch_reports\multi\As_a_packaging_worker_at_the_shipping_do_60.json,unknown,multi,"As a packaging worker at the shipping dock, you push the forklift towards the loading bay, followed by carefully navigating it around the other crates and boxes until it reaches the designated area next to the parts box, then skillfully lift the box using the forklift's hydraulic arm, pushed the box onto a pallet, and finally secured it with straps before transporting it out of the dock.",2025-12-12 02:10:42,False,5.699999999999999,"{'structure': 5.0, 'coherence': 7.0, 'style': 4.5, 'semantic_alignment': 8.5}",redesign_suggestions,7.199999999999999,"{'structure': 7.5, 'coherence': 7.5, 'style': 6.0, 'semantic_alignment': 3.0}",6.4,"{'structure': 6.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 5.75}",6.300000000000001,"{'structure': 7.0, 'coherence': 6.0, 'style': 5.5, 'semantic_alignment': 3.0}",6.3999999999999995
batch_reports\multi\As_a_packaging_worker__I_arrive_at_the_s_43.json,unknown,multi,"As a packaging worker, I arrive at the shipping dock and rotate the plate rack on its axis to ensure stability, then carefully lift it off the pallet, followed by rotating the rack again to align its horizontal bars with the shipping container's interior dimensions, and next position the rack against the container's sides, finally securing it in place before moving on to package the shipment.",2025-12-12 01:17:41,False,5.4,"{'structure': 6.0, 'coherence': 5.0, 'style': 5.0, 'semantic_alignment': 8.5}",redesign_suggestions,8.899999999999999,"{'structure': 9.0, 'coherence': 9.5, 'style': 7.5, 'semantic_alignment': 3.0}",6.9,"{'structure': 6.5, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 8.5}",7.8,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",7.25
batch_reports\multi\As_a_punch_press_operator__I_carefully_p_41.json,unknown,multi,"As a punch press operator, I carefully push the heavy parts box onto the designated storage rack to organize the workspace, then followed by pushing the box's lid open and removing it to inspect for any damaged parts that required special attention, and finally, after verifying all parts were secure, I pushed the box back into place at the press station, where it was secured with bungee cords.",2025-12-12 01:17:32,False,6.800000000000001,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 8.5}",redesign_suggestions,9.4,"{'structure': 9.5, 'coherence': 9.5, 'style': 9.0, 'semantic_alignment': 2.75}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 5.5}",7.800000000000001,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",7.650000000000001
batch_reports\multi\As_a_punch_press_operator__she_lifts_the_52.json,unknown,multi,"As a punch press operator, she lifts the 50-pound parts box off the stainless steel shelving unit in the dishwashing area, then carefully navigates it to the designated spot near the workstation where she places it on a steel pallet, followed by the need to lift again when she needs additional parts from the box, and finally uses her upper body strength to hoist the now-empty box onto a storage dolly with wheels designed for heavy-duty transport.",2025-12-12 01:45:27,False,7.300000000000001,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.5, 'semantic_alignment': 8.5}",redesign_suggestions,8.899999999999999,"{'structure': 9.0, 'coherence': 9.5, 'style': 7.5, 'semantic_alignment': 3.0}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 8.5}",7.800000000000001,"{'structure': 8.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 3.0}",7.6499999999999995
batch_reports\multi\As_the_dishroom_worker_pulls_the_large_l_53.json,unknown,multi,"As the dishroom worker pulls the large lid off the storage shelf that holds parts boxes, then carefully selects a box with the correct specifications and pulls out two dozen cleaning solution bottles and six sponges from it, followed by placing the now-empty box back onto its designated shelf, pulled by the same worker.",2025-12-12 01:45:30,False,5.7,"{'structure': 6.0, 'coherence': 6.0, 'style': 4.5, 'semantic_alignment': 8.5}",redesign_suggestions,9.2,"{'structure': 9.0, 'coherence': 9.0, 'style': 10.0, 'semantic_alignment': 3.0}",6.199999999999999,"{'structure': 6.5, 'coherence': 6.0, 'style': 6.0, 'semantic_alignment': 8.5}",8.0,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0949999999999998}",7.2749999999999995
batch_reports\multi\A_dishroom_worker_picks_up_a_tray_of_hea_47.json,unknown,multi,"A dishroom worker picks up a tray of heavy metal blanks from the shelf in the dishwashing area, carries them to a designated loading zone, and then proceeds to stack the metal blanks onto pallets for transportation to the warehouse storage area.",2025-12-12 01:30:53,False,6.4,"{'structure': 6.5, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 8.5}",redesign_suggestions,9.2,"{'structure': 9.0, 'coherence': 10.0, 'style': 8.0, 'semantic_alignment': 3.0}",6.4,"{'structure': 7.0, 'coherence': 6.0, 'style': 6.0, 'semantic_alignment': 8.5}",8.2,"{'structure': 8.0, 'coherence': 9.0, 'style': 7.0, 'semantic_alignment': 3.0}",7.55
batch_reports\multi\A_dishroom_worker_pushes_a_full_plate_ra_51.json,unknown,multi,"A dishroom worker pushes a full plate rack from the press station, then carefully guides it around a corner and towards the storage area, followed by expertly maneuvering the rack to fit through a narrow gap between two shelving units, finally securing it against the wall to maximize space and maintain a tidy and organized workspace.",2025-12-12 01:45:16,False,4.800000000000001,"{'structure': 4.5, 'coherence': 5.5, 'style': 4.0, 'semantic_alignment': 8.5}",redesign_suggestions,9.399999999999999,"{'structure': 9.5, 'coherence': 10.0, 'style': 8.0, 'semantic_alignment': 3.0}",5.800000000000001,"{'structure': 6.0, 'coherence': 6.0, 'style': 5.0, 'semantic_alignment': 8.5}",6.300000000000001,"{'structure': 6.0, 'coherence': 7.0, 'style': 5.5, 'semantic_alignment': 3.0}",6.575
batch_reports\multi\A_packaging_worker_pushes_the_glass_rack_19.json,unknown,multi,A packaging worker pushes the glass rack across the dishwashing area to access a stack of dirty dishes underneath it.,2025-12-12 02:12:05,False,6.2,"{'structure': 7.0, 'coherence': 6.0, 'style': 5.0, 'semantic_alignment': 8.5}",redesign_suggestions,8.8,"{'structure': 9.0, 'coherence': 9.0, 'style': 8.0, 'semantic_alignment': 3.0}",6.9,"{'structure': 6.5, 'coherence': 7.5, 'style': 6.5, 'semantic_alignment': 8.5}",7.0,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.0, 'semantic_alignment': 3.0}",7.225
batch_reports\multi\A_punch_press_operator_lifts_a_stack_of__1.json,unknown,multi,A punch press operator lifts a stack of metal blanks off the pallet in the dishwashing area.,2025-12-12 00:06:44,False,7.0,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.0, 'semantic_alignment': 8.5}",redesign_suggestions,9.1,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.5, 'semantic_alignment': 3.0}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 5.75}",9.3,"{'structure': 9.5, 'coherence': 9.5, 'style': 8.5, 'semantic_alignment': 3.0}",8.0
batch_reports\multi\A_warehouse_worker_picks_up_a_metal_blan_56.json,unknown,multi,"A warehouse worker picks up a metal blank from a storage rack on the shipping dock, then carries it to an inspection table where it is verified for quality and weight, followed by placing the verified metal blank into a designated bin, and next carefully lifting the contents of the bin onto a conveyor belt for processing.",2025-12-12 02:00:12,False,6.800000000000001,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.0, 'semantic_alignment': 8.5}",redesign_suggestions,8.899999999999999,"{'structure': 9.0, 'coherence': 9.5, 'style': 7.5, 'semantic_alignment': 3.0}",6.7,"{'structure': 6.5, 'coherence': 7.0, 'style': 6.5, 'semantic_alignment': 8.5}",7.0,"{'structure': 7.0, 'coherence': 7.5, 'style': 6.0, 'semantic_alignment': 3.0}",7.35
batch_reports\multi\A_warehouse_worker_pushes_a_flatware_tra_2.json,unknown,multi,A warehouse worker pushes a flatware tray against a press station to secure it for pressing before the next production cycle.,2025-12-12 00:06:17,False,5.7,"{'structure': 6.0, 'coherence': 6.0, 'style': 4.5, 'semantic_alignment': 8.5}",redesign_suggestions,9.0,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.0, 'semantic_alignment': 2.5}",5.9,"{'structure': 6.0, 'coherence': 6.0, 'style': 5.5, 'semantic_alignment': 8.5}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 3.0}",6.800000000000001
batch_reports\multi\The_dishroom_worker_pushes_the_flatware__14.json,unknown,multi,The dishroom worker pushes the flatware tray across the press station floor to clear space for the next delivery of dirty dishes.,2025-12-12 00:22:44,False,6.800000000000001,"{'structure': 6.5, 'coherence': 7.5, 'style': 6.0, 'semantic_alignment': 8.5}",redesign_suggestions,9.2,"{'structure': 9.0, 'coherence': 10.0, 'style': 8.0, 'semantic_alignment': 2.5}",6.0,"{'structure': 6.0, 'coherence': 6.0, 'style': 6.0, 'semantic_alignment': 5.5}",6.9,"{'structure': 7.0, 'coherence': 7.0, 'style': 6.5, 'semantic_alignment': 3.29}",7.225
batch_reports\multi\The_order_picker_carefully_enters_a_stor_58.json,unknown,multi,"The order picker carefully enters a storage rack, then rotates to face a metal blank on a nearby shelf and retrieves it from its designated slot, followed by a rotation as they move to the adjacent aisle to collect another metal blank from its corresponding location.",2025-12-12 02:01:06,False,7.2,"{'structure': 7.0, 'coherence': 8.0, 'style': 6.0, 'semantic_alignment': 8.5}",redesign_suggestions,8.5,"{'structure': 9.0, 'coherence': 8.5, 'style': 7.5, 'semantic_alignment': 3.0}",7.4,"{'structure': 7.0, 'coherence': 8.0, 'style': 7.0, 'semantic_alignment': 8.5}",8.0,"{'structure': 8.0, 'coherence': 8.5, 'style': 7.0, 'semantic_alignment': 3.0}",7.775
batch_reports\multi\The_order_picker_carefully_lifts_the_pla_46.json,unknown,multi,"The order picker carefully lifts the plate rack at the press station and then, following a brief pause to review the order layout, next places the lifted rack on a designated storage area, followed by a swift lift of the rack again to adjust its position slightly, before finally placing it back into its original storage slot.",2025-12-12 01:30:44,False,6.800000000000001,"{'structure': 6.0, 'coherence': 7.0, 'style': 8.0, 'semantic_alignment': 8.5}",redesign_suggestions,9.0,"{'structure': 9.0, 'coherence': 9.5, 'style': 8.0, 'semantic_alignment': 3.0}",5.800000000000001,"{'structure': 6.0, 'coherence': 6.0, 'style': 5.0, 'semantic_alignment': 8.5}",6.6,"{'structure': 7.0, 'coherence': 6.5, 'style': 6.0, 'semantic_alignment': 3.0}",7.050000000000001
